Entity,Code,Year,"Age-standardized deaths that are from respiratory infections per 100,000 people, in both sexes aged all ages"
Armenia,ARM,2012,14.510203
Armenia,ARM,2013,14.797947
Armenia,ARM,2014,14.825234
Armenia,ARM,2021,178.07222
Armenia,ARM,2020,136.314
Armenia,ARM,2019,32.871216
Armenia,ARM,2018,33.270714
Armenia,ARM,2017,22.369265
Armenia,ARM,2016,21.427942
Armenia,ARM,2015,18.150202
Australia,AUS,1950,44.541817
Australia,AUS,1951,46.18928
Australia,AUS,1952,40.555084
Australia,AUS,1953,36.833664
Australia,AUS,1954,40.231956
Australia,AUS,1955,35.56524
Australia,AUS,1956,39.746117
Australia,AUS,1957,42.80438
Australia,AUS,1958,34.36434
Australia,AUS,1959,47.42999
Australia,AUS,1960,35.45734
Australia,AUS,1961,31.471651
Australia,AUS,1962,33.67666
Australia,AUS,1963,32.514656
Australia,AUS,1964,39.541767
Australia,AUS,1965,34.108593
Australia,AUS,1966,39.5241
Australia,AUS,1967,31.960741
Australia,AUS,1968,30.799057
Australia,AUS,1969,26.315815
Australia,AUS,1970,34.597633
Australia,AUS,1971,24.788517
Australia,AUS,1972,23.097866
Australia,AUS,1973,23.22051
Australia,AUS,1974,26.725971
Australia,AUS,1975,17.57292
Australia,AUS,1976,23.910582
Australia,AUS,1977,17.298111
Australia,AUS,1978,16.529623
Australia,AUS,1979,14.434842
Australia,AUS,1980,12.725034
Australia,AUS,1981,11.188121
Australia,AUS,1982,14.996347
Australia,AUS,1983,10.777572
Australia,AUS,1984,10.1846285
Australia,AUS,1985,12.237438
Australia,AUS,1986,7.974666
Australia,AUS,1987,8.354324
Australia,AUS,1988,8.566349
Australia,AUS,1989,11.056846
Australia,AUS,1990,8.235443
Australia,AUS,1991,8.04325
Australia,AUS,1992,8.496323
Australia,AUS,1993,6.850107
Australia,AUS,1994,7.583838
Australia,AUS,1995,6.719063
Australia,AUS,1996,7.133219
Australia,AUS,1997,16.51556
Australia,AUS,1998,6.7477794
Australia,AUS,1999,6.1528583
Australia,AUS,2000,8.837808
Australia,AUS,2001,7.921598
Australia,AUS,2002,8.589264
Australia,AUS,2003,9.569597
Australia,AUS,2004,8.972064
Australia,AUS,2006,7.0096684
Australia,AUS,2007,6.5322676
Australia,AUS,2008,4.3429394
Australia,AUS,2009,4.4041443
Australia,AUS,2010,5.1836357
Australia,AUS,2011,5.2460027
Australia,AUS,2012,5.897635
Australia,AUS,2013,5.3702116
Australia,AUS,2014,6.0666404
Australia,AUS,2021,5.478284
Australia,AUS,2020,5.3102355
Australia,AUS,2019,7.292983
Australia,AUS,2018,5.7242846
Australia,AUS,2017,8.127273
Australia,AUS,2016,6.525617
Australia,AUS,2015,6.2085156
Austria,AUT,1955,57.226997
Austria,AUT,1956,55.915733
Austria,AUT,1957,69.85236
Austria,AUT,1958,54.01171
Austria,AUT,1959,54.277676
Austria,AUT,1960,63.64033
Austria,AUT,1961,39.28221
Austria,AUT,1962,48.818695
Austria,AUT,1963,53.722557
Austria,AUT,1964,32.90598
Austria,AUT,1965,37.668797
Austria,AUT,1966,29.884977
Austria,AUT,1967,31.72515
Austria,AUT,1968,28.84039
Austria,AUT,1969,51.872684
Austria,AUT,1970,50.768364
Austria,AUT,1971,35.662834
Austria,AUT,1972,27.08153
Austria,AUT,1973,31.46805
Austria,AUT,1974,31.092466
Austria,AUT,1975,40.930176
Austria,AUT,1976,34.934364
Austria,AUT,1977,23.538628
Austria,AUT,1978,27.624727
Austria,AUT,1979,21.791048
Austria,AUT,1980,22.263565
Austria,AUT,1981,21.417334
Austria,AUT,1982,18.727352
Austria,AUT,1983,16.96554
Austria,AUT,1984,13.05958
Austria,AUT,1985,14.397317
Austria,AUT,1986,13.039608
Austria,AUT,1987,11.8426285
Austria,AUT,1988,10.868104
Austria,AUT,1989,11.581161
Austria,AUT,1990,11.775955
Austria,AUT,1991,10.763525
Austria,AUT,1992,10.9485445
Austria,AUT,1993,9.266518
Austria,AUT,1994,8.550107
Austria,AUT,1995,6.92016
Austria,AUT,1996,7.9726195
Austria,AUT,1997,7.9823933
Austria,AUT,1998,7.828393
Austria,AUT,1999,8.839876
Austria,AUT,2000,8.630131
Austria,AUT,2001,7.46628
Austria,AUT,2002,6.1889734
Austria,AUT,2003,8.924174
Austria,AUT,2004,7.945636
Austria,AUT,2005,8.275501
Austria,AUT,2006,6.9260116
Austria,AUT,2007,6.5619006
Austria,AUT,2008,5.7571383
Austria,AUT,2009,5.368
Austria,AUT,2010,5.04861
Austria,AUT,2011,4.881198
Austria,AUT,2012,3.733775
Austria,AUT,2013,3.3988748
Austria,AUT,2014,2.9814575
Austria,AUT,2021,34.95429
Austria,AUT,2020,29.078295
Austria,AUT,2019,5.776196
Austria,AUT,2018,7.0864205
Austria,AUT,2017,5.9984655
Austria,AUT,2016,4.3001084
Austria,AUT,2015,4.3176913
Azerbaijan,AZE,1981,70.32327
Azerbaijan,AZE,1982,64.503845
Azerbaijan,AZE,1985,58.53762
Azerbaijan,AZE,1986,57.973423
Azerbaijan,AZE,1987,53.763073
Azerbaijan,AZE,1988,61.539318
Azerbaijan,AZE,1989,48.535587
Azerbaijan,AZE,1990,44.952793
Azerbaijan,AZE,1991,49.494877
Azerbaijan,AZE,1992,51.467888
Azerbaijan,AZE,1993,54.571293
Azerbaijan,AZE,1994,58.65384
Azerbaijan,AZE,1995,52.813095
Azerbaijan,AZE,1996,44.809586
Azerbaijan,AZE,1997,42.98345
Azerbaijan,AZE,1998,32.725025
Azerbaijan,AZE,1999,30.54812
Azerbaijan,AZE,2000,34.24737
Azerbaijan,AZE,2007,18.111471
Bahamas,BHS,1972,59.033028
Bahamas,BHS,1975,53.997826
Bahamas,BHS,1979,87.10785
Bahamas,BHS,1980,78.747955
Bahamas,BHS,1981,81.48859
Bahamas,BHS,1983,35.92808
Bahamas,BHS,1984,48.486618
Bahamas,BHS,1985,54.96696
Bahamas,BHS,1987,32.4948
Bahamas,BHS,1993,41.399185
Bahamas,BHS,1994,26.44717
Bahamas,BHS,1995,36.131855
Bahamas,BHS,1996,26.248512
Bahamas,BHS,1997,24.195581
Bahamas,BHS,1998,24.646511
Bahamas,BHS,1999,23.80379
Bahamas,BHS,2000,21.363838
Bahamas,BHS,2001,27.789824
Bahamas,BHS,2002,28.098372
Bahamas,BHS,2003,16.948545
Bahamas,BHS,2004,10.172126
Bahamas,BHS,2005,10.919369
Bahamas,BHS,2006,16.318386
Bahamas,BHS,2007,19.6921
Bahamas,BHS,2008,19.258112
Bahamas,BHS,2009,25.00685
Bahamas,BHS,2010,25.72752
Bahamas,BHS,2011,17.50294
Bahamas,BHS,2012,25.915724
Bahamas,BHS,2013,17.366215
Bahamas,BHS,2014,20.805935
Bahamas,BHS,2015,19.909231
Bahrain,BHR,1985,22.683123
Bahrain,BHR,1987,22.217842
Bahrain,BHR,1988,39.54922
Bahrain,BHR,1997,1.05469
Bahrain,BHR,1998,4.3587027
